Date,Open,High,Low,Close,Adj Close,Volume
11/30/2018,4.82,4.83,4.76,4.82,4.237823,431400
12/3/2018,4.96,5,4.92,4.94,4.343329,483000
12/4/2018,4.88,4.92,4.82,4.84,4.255407,297800
12/6/2018,4.78,4.82,4.75,4.79,4.211446,468600
12/7/2018,4.89,4.94,4.85,4.85,4.2642,471500
12/10/2018,4.83,4.86,4.78,4.81,4.229031,333600
12/11/2018,4.83,4.84,4.7,4.75,4.176278,307000
12/12/2018,4.69,4.71,4.65,4.68,4.114733,1879100
12/13/2018,4.69,4.71,4.66,4.71,4.141109,312300
12/14/2018,4.65,4.66,4.61,4.63,4.070772,407400
12/17/2018,4.63,4.64,4.52,4.54,3.991643,599000
12/18/2018,4.52,4.54,4.51,4.51,3.965266,877600
12/19/2018,4.5,4.57,4.43,4.48,3.938889,992200
12/20/2018,4.45,4.48,4.4,4.4,3.868552,448000
12/21/2018,4.38,4.43,4.35,4.37,3.842175,731300
12/24/2018,4.35,4.37,4.31,4.34,3.815799,221000
12/26/2018,4.32,4.39,4.28,4.39,3.85976,270400
12/27/2018,4.37,4.38,4.29,4.32,3.798215,274400
12/28/2018,4.42,4.43,4.36,4.38,3.850968,788700
12/31/2018,4.42,4.45,4.38,4.42,3.886137,360300
1/2/2019,4.39,4.55,4.39,4.5,3.956474,591700
1/3/2019,4.55,4.57,4.51,4.56,4.009227,234900
